Actual,Predicted
20.04,19.73847
8.19,8.303098
23.14,22.738266
18.1,18.331842
11.55,10.994115
5.86,7.1981525
15.79,14.907303
14.81,14.086466
17.21,16.94384
23.8,23.717585
12.76,12.196389
12.19,12.223477
18.03,18.199873
6.45,6.412293
21.19,21.240925
20.38,20.157932
12.799999999999999,12.654623
11.82,11.853315
25.69,25.923565
15.500000000000002,14.913973
23.19,23.347008
13.82,13.478037
16.14,16.273943
13.9,14.133976
17.04,16.983023
11.91,11.059767
18.8,18.835608
5.89,6.695813
16.51,15.812122
12.59,12.305017
21.72,22.187466
20.48,21.28502
14.27,15.200618
10.31,9.705254
23.19,23.046778
19.67,20.547768
12.42,11.774757
19.2,19.047876
17.24,16.463917
19.76,19.220541
9.82,10.595954
9.22,10.402348
20.49,20.584686
21.43,21.904234
22.6,23.677162
20.74,20.668926
20.94,20.420233
20.84,20.902277
21.32,21.238981
19.82,19.684834
20.6,21.12322
19.0,19.437807
24.13,23.690779
16.05,16.824825
10.35,11.36212
20.53,21.520947
8.03,8.861014
15.039999999999997,14.079224
7.31,8.306279
18.82,19.809032
21.81,21.712341
20.48,20.814577
14.350000000000001,14.035684
11.29,11.136131
15.15,14.598978
22.74,22.598177
11.27,11.26909
8.51,9.0474
13.139999999999999,12.522693
15.91,17.20795
21.17,21.118553
11.98,10.995998
19.82,19.586477
21.13,21.442768
9.62,10.3638525
24.99,25.456358
18.87,19.05191
15.579999999999998,15.887544
21.16,21.698526
21.07,21.118132
18.79,19.606958
15.91,16.113773
16.22,15.907984
6.240000000000001,7.039218
8.07,8.232816
19.8,19.659119
7.6,8.015116
13.749999999999998,14.53719
12.96,13.028478
15.569999999999999,15.696648
19.52,19.66402
14.45,14.0647335
20.74,20.67234
7.82,8.27686
17.61,19.058552
20.08,19.886923
13.129999999999999,12.585285
12.01,12.781879
11.03,11.333187
11.44,11.302446
9.64,8.653267
9.03,9.313278
21.03,20.746325
21.28,20.899368
20.81,20.622654
16.61,17.265627
10.9,10.414289
19.6,19.77953
11.93,11.227595
21.14,21.048143
19.66,19.608543
20.48,20.580708
21.75,21.262573
24.56,25.016235
7.94,8.2204075
15.579999999999998,15.509485
9.76,9.789528
23.36,21.959509
21.8,21.858248
19.42,19.739735
18.9,19.030695
18.18,17.425774
