Actual_train,Predicted_train
13.82,13.463017
12.37,12.70417
21.81,21.808403
10.48,9.789784
14.73,14.71115
20.11,20.11131
15.95,15.995788
24.91,24.963594
14.560000000000002,14.692726
9.33,9.573346
19.37,19.375515
18.84,18.947836
20.0,20.011702
6.859999999999999,6.993731
18.46,18.536839
12.490000000000002,12.618963
10.46,10.641044
19.96,19.972954
21.79,21.854143
24.25,23.65876
5.03,4.2356076
20.22,20.232489
11.6,11.74927
19.25,19.233822
15.72,15.788417
22.32,22.468498
17.81,17.729824
18.72,18.773867
10.31,10.258041
14.62,14.621621
22.07,21.999002
19.09,19.16349
22.14,21.626211
12.870000000000001,12.842748
23.99,23.882662
13.390000000000002,13.149067
19.7,19.711586
14.6,14.603143
20.82,20.809309
7.920000000000001,8.446832
22.74,22.70308
24.14,24.0512
9.44,9.099284
14.699999999999998,14.681027
16.05,16.29298
23.45,22.823956
8.96,8.711158
7.96,8.214065
10.15,10.271145
5.45,5.4500804
19.14,19.20026
24.83,24.851608
11.52,11.203607
16.05,15.460162
18.22,17.896948
21.6,21.56674
16.24,16.222765
8.67,8.672118
20.02,20.039787
19.39,19.473955
18.69,18.823643
20.26,20.340296
12.819999999999999,12.682543
21.6,20.840452
16.24,16.403967
13.390000000000002,13.424535
21.33,21.132946
21.19,21.208939
11.83,11.745736
23.23,23.248953
16.84,16.79556
22.42,22.31604
14.030000000000001,14.324357
20.75,20.801445
19.54,19.545246
22.82,22.822342
8.39,8.35954
7.900000000000001,8.105996
19.26,19.529505
15.619999999999997,15.758484
19.24,19.26306
14.020000000000001,13.5947075
19.69,19.631369
9.33,8.870512
20.27,20.223598
20.07,20.077042
12.500000000000002,12.519398
20.56,20.640816
23.29,23.227007
22.65,22.62846
21.16,21.20203
20.81,20.58933
20.9,20.926033
12.829999999999998,12.513142
19.37,19.316359
12.460000000000003,12.255385
20.24,20.268713
20.36,20.429129
14.649999999999999,14.399531
9.28,9.676182
13.67,14.083018
21.55,21.56997
8.12,8.628304
17.56,17.43339
22.73,22.670553
18.25,18.206396
20.81,20.805847
18.72,18.780977
16.91,17.039787
20.12,20.16467
21.63,21.317015
21.97,21.82342
22.39,22.363
13.56,13.292843
20.96,21.049324
7.07,7.094371
15.19,15.211062
12.480000000000002,12.694135
17.44,17.091555
8.12,8.1790085
19.19,19.229214
22.15,22.203487
9.34,9.327487
22.77,22.873814
14.57,14.687081
21.88,21.823349
23.26,23.140467
23.69,23.526644
14.360000000000001,14.500277
17.17,17.295586
22.32,22.294523
8.19,8.087115
10.06,10.425155
10.86,10.475156
19.17,19.166853
11.06,10.668261
21.25,21.239597
21.27,21.311356
19.11,19.192661
16.45,16.318394
8.83,8.831953
10.48,11.145891
21.89,21.661785
23.7,23.675156
11.49,11.55052
6.19,6.4619555
11.23,11.292551
23.46,23.254234
12.35,12.531624
15.0,15.029491
9.41,9.35419
15.830000000000002,15.935957
13.380000000000003,13.506459
20.7,20.647705
8.77,8.721314
9.73,9.627571
23.54,23.555382
18.89,18.897001
21.18,21.186863
10.72,10.440298
9.04,8.877519
11.25,10.885256
23.47,23.443556
7.910000000000001,8.047357
20.88,20.862675
22.73,22.7939
21.06,21.079306
22.34,22.359995
16.73,16.258894
22.35,22.355383
23.53,23.301363
20.06,20.059763
18.42,18.683182
10.77,10.909105
20.65,20.636305
12.99,12.65527
20.36,20.374096
21.8,21.71513
19.27,19.338951
10.52,10.258976
15.569999999999999,15.146773
17.0,17.015509
19.67,19.724804
23.51,23.483738
13.1,12.965746
12.29,12.64702
19.98,19.882864
20.72,20.748856
24.95,24.716114
20.7,20.695871
16.96,17.475956
10.91,10.691474
20.36,20.333237
19.41,19.387533
19.38,19.406517
20.85,20.84117
21.21,21.247509
21.22,21.17089
20.93,20.940361
10.56,10.530945
13.58,13.790227
21.52,21.494535
22.31,22.181568
9.76,9.87942
10.12,10.327032
21.21,21.305027
17.84,17.881876
11.63,11.727276
11.98,11.417343
8.89,8.89013
22.62,22.637981
21.23,21.222454
20.51,20.650202
12.74,12.495037
24.59,24.470745
12.43,12.342797
9.83,9.512506
